Pizurica, A.;Pizurica, A.
Vásquez, A.;Vásquez, A.
Ricaurte, P.;Ricaurte, P.
Ochoa, X.;Ochoa, X.
Toledo, R.;Toledo, R.
Rottondi, C.;Rottondi, C.
Worsley, M.;Worsley, M.
Ordóñez, V.;Ordóñez, V.
Rabadan, J.;Rabadan, J.
Oliveira, M.;Oliveira, M.
De Keyser, R.;De Keyser, R.
Larrea, J.;Larrea, J.
Łuszczak, A.;Łuszczak, A.
Perez-Jimenez, R.;Perez-Jimenez, R.
Ullón, R.;Ullón, R.
Pita, O.;Pita, O.
Rengifo, J.;Rengifo, J.
Bustamante, J.C.;Bustamante, J.C.
Medina, C.V.;Medina, C.V.
Chiang, L.D.;Chiang, L.D.
Vera, C.R.M.;Vera, C.R.M.
Ehsan, U.;Ehsan, U.
Bonchi, F.;Bonchi, F.
Gorotiza, J.;Gorotiza, J.
Vaca Ruiz, C.;Vaca Ruiz, C.
Intriago, G.;Intriago, G.
Klasnja, P.;Klasnja, P.
Jimmy Banchon, Z.;Jimmy Banchon, Z.
Mendieta, J.;Mendieta, J.
Vela, E.M.;Vela, E.M.
Bosquez, C.;Bosquez, C.
Rosero, S.;Rosero, S.
Jiménez, A.;Jiménez, A.
Aguilera, C.A.;Aguilera, C.A.
Alcivar, R.;Alcivar, R.
Zambrano, D.;Zambrano, D.
Collaguazo Jaramillo, A.;Collaguazo Jaramillo, A.
Torres, J.;Torres, J.
Lucio, L.E.;Lucio, L.E.
Spikol, D.;Spikol, D.
Ionescu, C.M.;Ionescu, C.M.
Loayza, K.;Loayza, K.
Pino, R.;Pino, R.
MacArini, L.A.;MacArini, L.A.
Revelo, H.V.;Revelo, H.V.
Salvachua, J.;Salvachua, J.
Altamirano, C.A.;Altamirano, C.A.
Marcos, X.E.;Marcos, X.E.
Merceron, A.;Merceron, A.
García-Cerezo, A.;García-Cerezo, A.
Carvajal, R.;Carvajal, R.
Kumar, A.;Kumar, A.
Braeken, A.;Braeken, A.
Zuo, L.;Zuo, L.
Kuffo, L.;Kuffo, L.
Parra, G.;Parra, G.
Espinoza, J.R.;Espinoza, J.R.
Villacis, D.M.;Villacis, D.M.
Cruz, E.;Cruz, E.
Ponguillo, R.A.;Ponguillo, R.A.
Idrovo, R.M.;Idrovo, R.M.
Xie, D.-L.;Xie, D.-L.
Ullón, R.H.;Ullón, R.H.
Cevallos, H.;Cevallos, H.
Hurel, J.;Hurel, J.
Munoz-Arcentales, J.A.;Munoz-Arcentales, J.A.
Jácome, L.;Jácome, L.
Crow, J.J.;Crow, J.J.
Moens, M.-F.;Moens, M.-F.
Ezeta, J.H.;Ezeta, J.H.
Romero, J.A.;Romero, J.A.
Mendoza, L.E.;Mendoza, L.E.
Abad, C.L.;Abad, C.L.
Bruckman, A.;Bruckman, A.
Garcia, J.C.;Garcia, J.C.
Alvarado, A.;Alvarado, A.
Quiñonez, Y.;Quiñonez, Y.
Miño, M.F.;Miño, M.F.
Nandola, N.N.;Nandola, N.N.
Deligiannis, N.;Deligiannis, N.
Yuan, M.;Yuan, M.
Van Eyk, E.;Van Eyk, E.
Mantrach, A.;Mantrach, A.
Andrade, B.;Andrade, B.
Ramirez-Aguilera, A.M.;Ramirez-Aguilera, A.M.
Arce, V.;Arce, V.
Braganza, S.;Braganza, S.
Perez, R.;Perez, R.
Muñoz, L.;Muñoz, L.
Martin, C.A.;Martin, C.A.
Vishwanath, A.;Vishwanath, A.
Boratto, L.;Boratto, L.
Ortiz-Aviles, L.;Ortiz-Aviles, L.
Bajaña, B.;Bajaña, B.
Luz, S.;Luz, S.
Amato, A.;Amato, A.
Montes, H.;Montes, H.
Izquierdo, E.;Izquierdo, E.
Da Silva, B.;Da Silva, B.
Macarini, L.A.;Macarini, L.A.
Da Camargo, S.S.;Da Camargo, S.S.
Shum, S.B.;Shum, S.B.
Gutiérrez, F.;Gutiérrez, F.
Velásquez, W.;Velásquez, W.
Eras, L.;Eras, L.
Sanga, B.R.;Sanga, B.R.
Quercia, D.;Quercia, D.
Seabra Lopes, L.;Seabra Lopes, L.
Alonso, G.E.;Alonso, G.E.
April, A.;April, A.
Zambrano, O.;Zambrano, O.
Quelal, R.E.;Quelal, R.E.
Cordova-Garcia, J.;Cordova-Garcia, J.
Klerkx, J.;Klerkx, J.
Peralta, J.A.;Peralta, J.A.
Ochoa, K.;Ochoa, K.
Jiménes, K.;Jiménes, K.
Xie, D.;Xie, D.
Ullón, H.;Ullón, H.
Alonso, S.S.;Alonso, S.S.
Garcia, K.C.;Garcia, K.C.
Lucas, P.;Lucas, P.
Pastor, M.A.;Pastor, M.A.
Vlacic, L.;Vlacic, L.
Karusala, N.;Karusala, N.
Encalada, A.;Encalada, A.
Rodriguez, J.;Rodriguez, J.
Power, T.;Power, T.
Lemos dos Santos, H.;Lemos dos Santos, H.
Valle, D.;Valle, D.
Bezemer, C.-P.;Bezemer, C.-P.
Velasco, M.;Velasco, M.
Endara, I.;Endara, I.
Munoz, J.A.;Munoz, J.A.
Jin, J.;Jin, J.
Flores, M.;Flores, M.
Iosup, A.;Iosup, A.
Baidal, C.S.;Baidal, C.S.
Alvarez-Alvarado, M.S.;Alvarez-Alvarado, M.S.
Aguilera, C.;Aguilera, C.
Guaranda, M.-B.;Guaranda, M.-B.
Figueroa, S.;Figueroa, S.
Marin, I.;Marin, I.
Jin, J.J.;Jin, J.J.
Basantes, L.S.;Basantes, L.S.
Roberts, N.;Roberts, N.
Loayza, F.R.;Loayza, F.R.
Merrett, G.V.;Merrett, G.V.
Quimis, M.;Quimis, M.
Molina, K.G.;Molina, K.G.
Cajo, R.;Cajo, R.
Vintimilla, B.X.;Vintimilla, B.X.
Aller, J.M.;Aller, J.M.
Méndez, G.;Méndez, G.
Ortiz-Rojas, M.;Ortiz-Rojas, M.
Buil, M.P.;Buil, M.P.
Dominguez, F.;Dominguez, F.
López, D.R.;López, D.R.
Villagra, F.;Villagra, F.
Lopez, C.S.;Lopez, C.S.
Astudillo, E.;Astudillo, E.
Arce, V.A.;Arce, V.A.
Recalde, L.;Recalde, L.
Oviatt, S.;Oviatt, S.
Aragon, H.;Aragon, H.
Cruz, L.G.;Cruz, L.G.
Eismann, S.;Eismann, S.
Villavicencio, J.;Villavicencio, J.
Ortiz, K.;Ortiz, K.
Romero, C.;Romero, C.
Nunes, J.B.C.;Nunes, J.B.C.
Agila, W.;Agila, W.
Onkarappa, N.;Onkarappa, N.
Martinez, M.;Martinez, M.
Marin-Garcia, I.;Marin-Garcia, I.
Peláez, E.;Peláez, E.
Monsalve, C.;Monsalve, C.
Caio, R.;Caio, R.
Semanjski, I.;Semanjski, I.
Martín, C.A.;Martín, C.A.
Sappa, A.D.;Sappa, A.D.
De Laet, T.;De Laet, T.
Talluri, S.;Talluri, S.
Jurado-Verdu, C.;Jurado-Verdu, C.
Greer, J.;Greer, J.
Pincay, J.;Pincay, J.
Alves, G.R.;Alves, G.R.
Mandow, A.;Mandow, A.
Molina, M.;Molina, M.
Verbert, K.;Verbert, K.
Mckay, T.;Mckay, T.
Quimba, S.;Quimba, S.
Mendieta, M.;Mendieta, M.
Montoya, A.;Montoya, A.
Yanez, W.;Yanez, W.
Calero-Bravo, V.;Calero-Bravo, V.
Jimenez, A.;Jimenez, A.
Cedeno, J.;Cedeno, J.
Salazar, D.S.;Salazar, D.S.
Rizzoli, A.E.;Rizzoli, A.E.
De Kevser, R.;De Kevser, R.
Muñoz-Arcentles, A.;Muñoz-Arcentles, A.
Estrada, R.L.;Estrada, R.L.
Rodríguez-Echeverría, J.;Rodríguez-Echeverría, J.
Arana, R.C.;Arana, R.C.
Romero, D.G.;Romero, D.G.
Abran, A.;Abran, A.
Vandeputte, B.;Vandeputte, B.
Plaza, D.;Plaza, D.
Gummadi, K.P.;Gummadi, K.P.
Donoso, D.E.O.;Donoso, D.E.O.
Guingla, D.P.;Guingla, D.P.
Salvachúa, J.;Salvachúa, J.
Valarezo, E.;Valarezo, E.
Padilla-Lozano, C.;Padilla-Lozano, C.
Danos, E.;Danos, E.
Valcke, M.;Valcke, M.
Ferme, V.;Ferme, V.
Rivera, D.E.;Rivera, D.E.
Xie, Q.;Xie, Q.
Andrade, X.;Andrade, X.
Sharples, M.;Sharples, M.
Muñoz-Arcentales, A.;Muñoz-Arcentales, A.
Herrera, E.V.;Herrera, E.V.
Touhafi, A.;Touhafi, A.
Kuffó, L.;Kuffó, L.
Van Coillie, F.;Van Coillie, F.
Lu, Y.;Lu, Y.
Cukurova, M.;Cukurova, M.
Zhao, Y.;Zhao, Y.
Hill, C.;Hill, C.
Adams, M.A.;Adams, M.A.
Coronel, M.A.;Coronel, M.A.
Tome, A.M.;Tome, A.M.
Falcones, G.;Falcones, G.
Jaimes, A.;Jaimes, A.
Yánez-Pazmino, W.;Yánez-Pazmino, W.
Realpe, M.;Realpe, M.
Lasso, H.;Lasso, H.
Sicilia, M.-A.;Sicilia, M.-A.
Murillo, J.R.;Murillo, J.R.
Martinez, C.;Martinez, C.
Parrales, J.;Parrales, J.
Ponguillo, R.;Ponguillo, R.
Armijos, A.F.;Armijos, A.F.
Abad, C.;Abad, C.
Rodes, V.;Rodes, V.
Do, T.H.;Do, T.H.
Aelterman, J.;Aelterman, J.
Neto, A.F.;Neto, A.F.
Jurado, D.;Jurado, D.
Ruiz, C.V.;Ruiz, C.V.
Ocampo, J.;Ocampo, J.
Palavitsinis, N.;Palavitsinis, N.
Mena, L.;Mena, L.
Liao, W.;Liao, W.
Chilán, C.;Chilán, C.
Vaca Ruiz, C.K.;Vaca Ruiz, C.K.
Bayona, O.;Bayona, O.
Hidasi, B.;Hidasi, B.
Villalba, R.;Villalba, R.
Hernandez, J.;Hernandez, J.
Cordova-Villagomez, J.;Cordova-Villagomez, J.
Duval, E.;Duval, E.
Gaspar, J.;Gaspar, J.
De Lourdes Pilay, M.;De Lourdes Pilay, M.
García, J.;García, J.
Lozano, E.;Lozano, E.
Boza, E.;Boza, E.
Bonilla, R.I.;Bonilla, R.I.
Poujol, J.;Poujol, J.
Lim, G.H.;Lim, G.H.
Veriñaz, H.I.;Veriñaz, H.I.
Van Der Straeten, D.;Van Der Straeten, D.
Carvajal, J.A.;Carvajal, J.A.
Alcivar-Molina, E.;Alcivar-Molina, E.
Ramchurn, S.D.;Ramchurn, S.D.
Rodriguez, J.S.;Rodriguez, J.S.
Son, Y.-J.;Son, Y.-J.
Eslambolchilar, P.;Eslambolchilar, P.
Arreaga, N.X.;Arreaga, N.X.
Calero, V.;Calero, V.
Buman, M.P.;Buman, M.P.
Casas, A.P.;Casas, A.P.
Chalen, M.;Chalen, M.
Castells, J.;Castells, J.
Atkin, J.;Atkin, J.
Minh Nguyen, D.;Minh Nguyen, D.
Walter, J.;Walter, J.
Ivashyn, U.;Ivashyn, U.
Guaman, B.;Guaman, B.
Wong-Villacrés, M.;Wong-Villacrés, M.
Verticale, G.;Verticale, G.
Chalén, T.M.;Chalén, T.M.
Echeverría, V.;Echeverría, V.
Plaza, D.A.;Plaza, D.A.
Hekler, E.B.;Hekler, E.B.
Dye, M.;Dye, M.
Blazquez, F.;Blazquez, F.
Pardo, A.;Pardo, A.
Ordoñez, D.M.;Ordoñez, D.M.
Fiallos, A.;Fiallos, A.
Gray, M.L.;Gray, M.L.
Plaza, J.A.;Plaza, J.A.
Villegas, P.;Villegas, P.
Grohmann, J.;Grohmann, J.
Diaz, J.;Diaz, J.
Cadena, A.;Cadena, A.
Bosnic, I.;Bosnic, I.
Paynabar, K.;Paynabar, K.
Pal, J.;Pal, J.
Jadan, H.I.V.;Jadan, H.I.V.
Terán, L.;Terán, L.
Vargas, W.V.;Vargas, W.V.
Castro, D.;Castro, D.
Philips, W.;Philips, W.
Oyola, A.;Oyola, A.
Romero, D.;Romero, D.
Villavicencio, A.M.;Villavicencio, A.M.
Tsiligianni, E.;Tsiligianni, E.
Parra, D.;Parra, D.
Cobos, R.;Cobos, R.
Van Gheluwe, C.;Van Gheluwe, C.
Korinek, E.V.;Korinek, E.V.
Aumala, G.;Aumala, G.
García, S.;García, S.
Hidalgo, J.I.;Hidalgo, J.I.
Velasquez Vargas, W.A.;Velasquez Vargas, W.A.
Gawanmeh, A.;Gawanmeh, A.
Concha, A.G.;Concha, A.G.
De Vylder, J.;De Vylder, J.
Fiallos, C.;Fiallos, C.
Cechinel, C.;Cechinel, C.
Esparragoza, I.E.;Esparragoza, I.E.
Bastos, T.F.;Bastos, T.F.
Dias, P.;Dias, P.
Dawson, S.;Dawson, S.
Padilla, V.S.;Padilla, V.S.
Aguilera, F.J.;Aguilera, F.J.
Vergara, C.;Vergara, C.
Solomon, A.;Solomon, A.
Vaca, D.;Vaca, D.
Vélez, J.;Vélez, J.
Intriago, R.;Intriago, R.
Martínez-Maldonado, R.;Martínez-Maldonado, R.
Vintimilla, B.;Vintimilla, B.
Ochoa, A.;Ochoa, A.
Campbell, R.H.;Campbell, R.H.
Díaz, P.;Díaz, P.
Stoitsis, G.;Stoitsis, G.
Puyosa, H.;Puyosa, H.
San-Lucas, C.;San-Lucas, C.
Castillo, G.;Castillo, G.
Velasquez, W.;Velasquez, W.
Pilco, N.;Pilco, N.
Nunez-Idrovo, L.;Nunez-Idrovo, L.
Loayza, F.;Loayza, F.
Castro, S.J.;Castro, S.J.
Castro, R.;Castro, R.
Brusilovsky, P.;Brusilovsky, P.
Eyk, E.V.;Eyk, E.V.
Copot, C.;Copot, C.
Martinez-Maldonado, R.;Martinez-Maldonado, R.
Freigoun, M.T.;Freigoun, M.T.
Cevallos-Cevallos, J.;Cevallos-Cevallos, J.
Vaca-Urbano, F.;Vaca-Urbano, F.
Saad, M.;Saad, M.
Wang, X.;Wang, X.
Chiluiza, K.;Chiluiza, K.
Schlesinger, A.;Schlesinger, A.
Cerezo, A.G.;Cerezo, A.G.
Gonzalez, A.;Gonzalez, A.
Millan, M.E.;Millan, M.E.
Salazar, C.;Salazar, C.
Rivadeneira, R.E.;Rivadeneira, R.E.
Chavez, P.;Chavez, P.
Desiderio, K.;Desiderio, K.
Mac, T.T.;Mac, T.T.
Kumar, N.;Kumar, N.
Murillo, J.;Murillo, J.
Suárez, P.L.;Suárez, P.L.
Pesantez, J.;Pesantez, J.
Rodríguez, J.S.;Rodríguez, J.S.
Puente, S.C.;Puente, S.C.
Echeverria, V.;Echeverria, V.
Molenaar, I.;Molenaar, I.
Bozhko, S.;Bozhko, S.
Huilcapi, V.;Huilcapi, V.
Intriago, R.P.;Intriago, R.P.
Vuorikari, R.;Vuorikari, R.
Aguilera-Carrasco, C.A.;Aguilera-Carrasco, C.A.
Ferrin, A.;Ferrin, A.
Carrillo, G.;Carrillo, G.
Hammoud, R.I.;Hammoud, R.I.
Suarez, P.L.;Suarez, P.L.
Akhrif, O.;Akhrif, O.
Dos Santos, H.L.;Dos Santos, H.L.
Soncini-Sessa, R.;Soncini-Sessa, R.
San Lucas, C.;San Lucas, C.
Domínguez, F.;Domínguez, F.
Narvaez, R.B.;Narvaez, R.B.
Chalen, T.M.;Chalen, T.M.
Ochoa, D.;Ochoa, D.
Willnecker, F.;Willnecker, F.
Carvajal Ayala, J.A.;Carvajal Ayala, J.A.
Saerens, M.;Saerens, M.
Criollo, R.;Criollo, R.
Charco, J.L.;Charco, J.L.
Castro-Valladares, L.;Castro-Valladares, L.
Ternier, S.;Ternier, S.
Sola-Mora, J.;Sola-Mora, J.
Teran, E.;Teran, E.
DiSalvo, B.;DiSalvo, B.
Carrillo, G.E.;Carrillo, G.E.
Collaguazo-Jaramillo, A.;Collaguazo-Jaramillo, A.
Luong, H.;Luong, H.
Cai, C.X.;Cai, C.X.
Santos-Victor, J.;Santos-Victor, J.
Chavez-Burbano, P.;Chavez-Burbano, P.
Prieto, L.P.;Prieto, L.P.
Molinaro, M.;Molinaro, M.
Derntl, M.;Derntl, M.
Cortez, D.;Cortez, D.
Fraternali, P.;Fraternali, P.
Morales, L.E.M.;Morales, L.E.M.
Lopez, A.J.;Lopez, A.J.
Lascano, S.;Lascano, S.
Alvia, S.V.;Alvia, S.V.
Moreira, A.P.;Moreira, A.P.
Disalvo, B.;Disalvo, B.
Phatak, S.S.;Phatak, S.S.
Mora, H.;Mora, H.
Salgado, W.G.;Salgado, W.G.
Cevallos, J.;Cevallos, J.
Timms, K.P.;Timms, K.P.
Maya, R.D.;Maya, R.D.
Rizvandi, N.B.;Rizvandi, N.B.
Arévalo-Avecillas, D.;Arévalo-Avecillas, D.
Conati, C.;Conati, C.
Panchana, F.;Panchana, F.
Pundir, M.;Pundir, M.
Jimenes, K.;Jimenes, K.
Moreira, V.;Moreira, V.
Ionescu, C.;Ionescu, C.
Seipp, K.;Seipp, K.
Godoy, C.;Godoy, C.
Lara, P.;Lara, P.
Douglas, A.;Douglas, A.
Maya, R.;Maya, R.
Barzola, V.E.;Barzola, V.E.
Suárez, S.;Suárez, S.
Granda, R.X.;Granda, R.X.
Gomez, J.C.;Gomez, J.C.
Sen, R.;Sen, R.
Pinargote, A.;Pinargote, A.
de la Escalera, A.;de la Escalera, A.
Boza, E.F.;Boza, E.F.
Orellana Fantoni, C.;Orellana Fantoni, C.
Rousseaux, S.;Rousseaux, S.
Wong-Villacres, M.;Wong-Villacres, M.
Manouselis, N.;Manouselis, N.
Villavicencio, M.;Villavicencio, M.
Castelletti, A.;Castelletti, A.
Capel, M.I.;Capel, M.I.
Baquerizo, G.;Baquerizo, G.
Briones, J.M.;Briones, J.M.
Asanza, V.;Asanza, V.
Rugel, G.M.V.;Rugel, G.M.V.
Weibel, N.;Weibel, N.
Rodríguez-Triana, M.J.;Rodríguez-Triana, M.J.
Pelaez, E.;Pelaez, E.
Hayes, C.;Hayes, C.
Viteri, J.A.;Viteri, J.A.
Akbarinia, A.;Akbarinia, A.
Layedra, F.;Layedra, F.
Alcivar, I.;Alcivar, I.
Constantine, A.;Constantine, A.
Sacarelo, C.;Sacarelo, C.
Santos, V.;Santos, V.
Soria, X.;Soria, X.
Ortega, A.P.;Ortega, A.P.
Cipriano, D.;Cipriano, D.
Veriñaz Jadan, H.I.;Veriñaz Jadan, H.I.
Campana, F.;Campana, F.
Romero, J.;Romero, J.
Ferguson, R.;Ferguson, R.
Recalde, A.;Recalde, A.
Abad, A.G.;Abad, A.G.
Granda, R.;Granda, R.
Cedeño, J.;Cedeño, J.
Vargas, G.;Vargas, G.
Alomari, A.;Alomari, A.
Estrada-Cedeno, P.;Estrada-Cedeno, P.
Aiello, L.M.;Aiello, L.M.
Garzon, A.;Garzon, A.
Guamán, B.;Guamán, B.
Castillo-Lopez, G.;Castillo-Lopez, G.
Gautama, S.;Gautama, S.
Cordova Estrella, R.;Cordova Estrella, R.
Luu, H.;Luu, H.
Oviedo, I.D.;Oviedo, I.D.
Madrid, C.E.;Madrid, C.E.
Ortiz, M.;Ortiz, M.
Guerra, V.;Guerra, V.
Avendaño, A.;Avendaño, A.
Munoz-Arcentales, A.;Munoz-Arcentales, A.
Lumbreras, F.;Lumbreras, F.
Vaca, C.;Vaca, C.
Chaerle, L.;Chaerle, L.
Fernandez-Seara, M.A.;Fernandez-Seara, M.A.
Totoy, G.;Totoy, G.
Luzardo, G.;Luzardo, G.
Quelal, R.;Quelal, R.
Valencia, A.J.;Valencia, A.J.
Aguilar, P.A.;Aguilar, P.A.
Martinez Vera, C.R.;Martinez Vera, C.R.
Frizera, A.;Frizera, A.
Buckingham Shum, S.;Buckingham Shum, S.
Grafsgaard, J.F.;Grafsgaard, J.F.
Coque, S.;Coque, S.
Evans, H.I.;Evans, H.I.
